prot1	prot2	r
ATP5PB	ATPAF1	0.84450246600478
ATP5PB	ATPAF2	0.857509205521354
ATP5PB	ATP5F1C	0.953608812072337
ATP5PB	ATP5MF	0.873116488031285
ATP5PB	ATP5PO	0.913390241506172
ATP5PB	BCS1L	0.76493385396861
ATP5PB	COA3	0.7533975438174
ATP5PB	COA5	0.666528827258918
ATP5PB	COA6	0.766198353136409
ATP5PB	COA7	0.647113552591698
ATP5PB	MT-CO1	0.521584091221586
ATP5PB	COX11	0.688468124603976
ATP5PB	COX19	0.819119920166256
ATP5PB	MT-CO2	0.90103100550753
ATP5PB	COX20	0.670366882246822
ATP5PB	COX4I1	0.913375743426967
ATP5PB	COX6C	0.882095721388335
ATP5PB	COX7C	0.753977040976565
ATP5PB	COX7A2L	0.91873190232202
ATP5PB	COX7A1	0.584587980544337
ATP5PB	CYC1	0.887035085016969
ATP5PB	ECSIT	0.618315784201376
ATP5PB	FOXRED1	0.517071314634965
ATP5PB	NDUFA2	0.851651685414154
ATP5PB	NDUFA3	0.90324108355907
ATP5PB	NDUFA5	0.861790301610289
ATP5PB	NDUFA6	0.800416719865501
ATP5PB	NDUFA7	0.878815911134837
ATP5PB	NDUFA8	0.715842652947343
ATP5PB	NDUFA9	0.885971881694107
ATP5PB	NDUFA10	0.844415832401538
ATP5PB	NDUFA11	0.684853565714886
ATP5PB	NDUFA12	0.798471720659949
ATP5PB	NDUFA13	0.869186026573783
ATP5PB	NDUFB1	0.758599937728813
ATP5PB	NDUFB3	0.737093300986375
ATP5PB	NDUFB4	0.776982813501088
ATP5PB	NDUFB5	0.869458705854433
ATP5PB	NDUFB6	0.886122560401218
ATP5PB	NDUFB7	0.819460363370612
ATP5PB	NDUFB8	0.762577626772793
ATP5PB	NDUFB9	0.836171697572047
ATP5PB	NDUFB10	0.878033978375779
ATP5PB	NDUFB11	0.617129880720738
ATP5PB	NDUFC2	0.836958179757166
ATP5PB	NDUFAF4	0.702944516137839
ATP5PB	NDUFAF5	0.609356045150086
ATP5PB	NDUFAF6	0.756006586008382
ATP5PB	NDUFAF7	0.794033921734841
ATP5PB	NDUFS1	0.864620156248103
ATP5PB	NDUFS2	0.874779413072078
ATP5PB	NDUFS3	0.90231444348685
ATP5PB	NDUFS4	0.857986998327756
ATP5PB	NDUFS5	0.763232256734625
ATP5PB	NDUFS6	0.877633761496219
ATP5PB	NDUFS7	0.803936572823904
ATP5PB	NDUFS8	0.848990851066024
ATP5PB	NDUFV1	0.845663884197166
ATP5PB	NDUFV2	0.782204697882061
ATP5PB	MT-ND1	0.510390024811574
ATP5PB	MT-ND4	0.432071666367648
ATP5PB	MT-ND5	0.417919309805887
ATP5PB	NUBPL	0.652596768021428
ATP5PB	UQCRC1	0.927516364589279
ATP5PB	UQCRC2	0.951996564582529
ATP5PB	UQCRH	0.476942387875049
ATP5PB	UQCRB	0.908378076319131
ATP5PB	UQCRQ	0.853933202311894
ATP5PB	UQCR10	0.676525433251826
ATP5PB	SCO1	0.664031397884007
ATP5PB	SCO2	0.593758792082484
ATP5PB	SDHA	0.94057410857107
ATP5PB	SDHB	0.940902921528567
ATP5PB	SDHAF2	0.835791013649837
ATP5PB	SURF1	0.663155288549004
ATP5PB	TIMMDC1	0.56177610130384
ATP5PB	UQCRFS1	0.893539874810185
ATP5PB	UQCC1	0.612377649665463
ATP5PB	UQCC2	0.7029370649173
ATP5PD	ATP5ME	0.942568579573127
ATP5PD	ATP5MG	0.942070318975092
ATP5PD	ATP5F1A	0.967621458433098
ATP5PD	ATP5F1B	0.963196491203062
ATP5PD	ATP5F1D	0.951502078509834
ATP5PD	ATPAF1	0.873005785093649
ATP5PD	ATPAF2	0.848859440930997
ATP5PD	ATP5F1C	0.975393724071192
ATP5PD	ATP5MF	0.967118383805073
ATP5PD	ATP5PO	0.948502756731882
ATP5PD	BCS1L	0.839033068420639
ATP5PD	COA3	0.711524278162612
ATP5PD	COA5	0.774574334013685
ATP5PD	COA6	0.841277644263451
