prot1	prot2	r
ATP5PB	COX7A2L	0.404660153178532
ATP5PB	COX6B1	0.672826212221126
ATP5PB	CYC1	0.871865711131681
ATP5PB	ECSIT	0.651695830368348
ATP5PB	NDUFA2	0.78047479831446
ATP5PB	NDUFA3	0.790088682717493
ATP5PB	NDUFA5	0.851786048519043
ATP5PB	NDUFA6	0.6373423820969
ATP5PB	NDUFA7	0.827458887381292
ATP5PB	NDUFA8	0.622577381858101
ATP5PB	NDUFA9	0.669561519255676
ATP5PB	NDUFA10	0.720711350101397
ATP5PB	NDUFA11	0.558622744946346
ATP5PB	NDUFA12	0.814396172044844
ATP5PB	NDUFA13	0.739185972541409
ATP5PB	NDUFB1	0.493298716502749
ATP5PB	NDUFB3	0.567896311334155
ATP5PB	NDUFB4	0.666677550059412
ATP5PB	NDUFB5	0.837968203052652
ATP5PB	NDUFB6	0.857128466034921
ATP5PB	NDUFB7	0.621911450147465
ATP5PB	NDUFB8	0.746845384717007
ATP5PB	NDUFB9	0.729865150394072
ATP5PB	NDUFB10	0.7667482287789
ATP5PB	NDUFB11	0.68769208439615
ATP5PB	NDUFC2	0.820063324676149
ATP5PB	NDUFAF3	0.533367686093325
ATP5PB	NDUFAF4	0.511042937018987
ATP5PB	NDUFAF6	0.496910306736184
ATP5PB	NDUFAF7	0.662897568827628
ATP5PB	NDUFS1	0.735637725619549
ATP5PB	NDUFS2	0.675983632511317
ATP5PB	NDUFS3	0.737168238195576
ATP5PB	NDUFS4	0.845814620737341
ATP5PB	NDUFS5	0.683659286175986
ATP5PB	NDUFS6	0.751512957156363
ATP5PB	NDUFS7	0.598834960112289
ATP5PB	NDUFS8	0.755643141728918
ATP5PB	NDUFV1	0.672331897620531
ATP5PB	NDUFV2	0.639302301376958
ATP5PB	MT-ND1	0.554787348898492
ATP5PB	MT-ND4	0.522198530607414
ATP5PB	MT-ND5	0.603033805300907
ATP5PB	NUBPL	0.493070748567076
ATP5PB	UQCRC1	0.845036329401372
ATP5PB	UQCRC2	0.868392357463913
ATP5PB	UQCRB	0.911316558097496
ATP5PB	UQCRQ	0.825740549238066
ATP5PB	UQCR10	0.555292926746923
ATP5PB	SCO1	0.5706902084612
ATP5PB	SCO2	0.585579580199046
ATP5PB	SDHA	0.889657586666682
ATP5PB	SDHB	0.649113791252051
ATP5PB	SURF1	0.505892267788691
ATP5PB	TIMMDC1	0.598095240861842
ATP5PB	UQCRFS1	0.858156513930078
ATP5PD	ATP5ME	0.892025541919285
ATP5PD	ATP5MG	0.906616251701322
ATP5PD	ATP5F1A	0.962613902759174
ATP5PD	ATP5F1B	0.911397761810906
ATP5PD	ATP5F1D	0.714158498635274
ATP5PD	ATPAF1	0.789504135052646
ATP5PD	ATPAF2	0.834836937251175
ATP5PD	ATP5F1C	0.939891895510861
ATP5PD	ATP5MF	0.82643384002983
ATP5PD	ATP5PO	0.864897092609689
ATP5PD	BCS1L	0.596045585617336
ATP5PD	SDHC	0.760572370623346
ATP5PD	NDUFAF1	0.575965371176508
ATP5PD	COA3	0.565933091461576
ATP5PD	COA7	0.483864371942295
ATP5PD	MT-CO1	0.873840119637421
ATP5PD	COX11	0.509929801043927
ATP5PD	COX17	0.641371738887595
ATP5PD	COX19	0.75834028190893
ATP5PD	MT-CO2	0.867541764699125
ATP5PD	COX20	0.561195824972508
ATP5PD	COX4I1	0.865003708717285
ATP5PD	COX6C	0.719050465005685
ATP5PD	COX7C	0.637301320554198
ATP5PD	COX7A2L	0.621225888061108
ATP5PD	COX6B1	0.812968216423865
ATP5PD	COX7A1	0.687348230952461
ATP5PD	CYC1	0.917745467157753
ATP5PD	ECSIT	0.581258063219325
ATP5PD	NDUFA2	0.887098482271398
ATP5PD	NDUFA3	0.786151917207598
ATP5PD	NDUFA5	0.809642696689657
ATP5PD	NDUFA6	0.886154210256566
ATP5PD	NDUFA7	0.831181231182307
ATP5PD	NDUFA8	0.647085520370897
ATP5PD	NDUFA9	0.919891469739019
ATP5PD	NDUFA10	0.902697798831963
ATP5PD	NDUFA11	0.819828690326438
ATP5PD	NDUFA12	0.834059903455242
ATP5PD	NDUFA13	0.844186910825246
ATP5PD	NDUFB1	0.630166932600744
ATP5PD	NDUFB3	0.819620065769148
ATP5PD	NDUFB4	0.624159128182412
ATP5PD	NDUFB5	0.856751048417548
ATP5PD	NDUFB6	0.658917852066303
ATP5PD	NDUFB8	0.609998959461552
ATP5PD	NDUFB9	0.644134938120238
ATP5PD	NDUFB10	0.847485823956932
ATP5PD	NDUFB11	0.796737235215249
ATP5PD	NDUFC2	0.543323406960217
ATP5PD	NDUFAF4	0.787015175148232
ATP5PD	NDUFAF5	0.566765820702057
ATP5PD	NDUFAF6	0.793143292666512
ATP5PD	NDUFAF7	0.72660604968773
ATP5PD	NDUFS1	0.908713966202034
ATP5PD	NDUFS2	0.904524772006404
ATP5PD	NDUFS3	0.875670777130158
ATP5PD	NDUFS4	0.862669945045254
ATP5PD	NDUFS5	0.873113602112686
ATP5PD	NDUFS6	0.530690139159042
ATP5PD	NDUFS7	0.531962326214459
ATP5PD	NDUFS8	0.816543467312517
ATP5PD	NDUFV1	0.912701010216791
ATP5PD	NDUFV2	0.85080582183818
ATP5PD	MT-ND1	0.793597640347381
ATP5PD	MT-ND4	0.53441931876216
ATP5PD	MT-ND5	0.687832482095293
ATP5PD	NUBPL	0.567377013747494
ATP5PD	UQCRC1	0.941915904496935
ATP5PD	UQCRC2	0.932150744076631
ATP5PD	UQCRH	0.645962300151614
ATP5PD	UQCRB	0.924514221635834
ATP5PD	UQCRQ	0.645814598486363
ATP5PD	UQCR10	0.657691326674166
ATP5PD	SDHA	0.66979424023306
ATP5PD	SDHB	0.862821609091071
ATP5PD	TIMMDC1	0.493918134497493
ATP5PD	UQCRFS1	0.820330872596197
ATP5PD	UQCC1	0.659654309222717
ATP5PD	UQCC2	0.650678297162955
ATP5ME	ATP5MG	0.794111238742657
ATP5ME	ATP5F1A	0.916208855596535
ATP5ME	ATP5F1B	0.93369300303678
ATP5ME	ATP5F1D	0.830261932063038
ATP5ME	ATPAF1	0.695211780292625
ATP5ME	ATPAF2	0.837866890899034
ATP5ME	ATP5F1C	0.89979969700741
ATP5ME	ATP5MF	0.71375802933243
ATP5ME	ATP5PO	0.83620548170395
ATP5ME	BCS1L	0.477303537427896
ATP5ME	SDHC	0.8329222242902
ATP5ME	NDUFAF1	0.519314384441496
ATP5ME	COA3	0.430624107544457
ATP5ME	MT-CO1	0.69983519046651
ATP5ME	COX11	0.537778069144415
ATP5ME	COX17	0.650902788204191
ATP5ME	MT-CO2	0.776442523495837
ATP5ME	COX20	0.639114957636841
ATP5ME	COX4I1	0.787995785109383
ATP5ME	COX6C	0.534840007611537
ATP5ME	COX7C	0.568417733569327
ATP5ME	COX7A2L	0.570525120193666
ATP5ME	COX6B1	0.740135951243918
ATP5ME	COX7A1	0.634402338376967
ATP5ME	CYC1	0.927411464911576
ATP5ME	ECSIT	0.665335852585349
ATP5ME	FOXRED1	0.612653484608797
ATP5ME	NDUFA2	0.784831178968701
ATP5ME	NDUFA3	0.738204104959441
ATP5ME	NDUFA5	0.810782952770629
ATP5ME	NDUFA6	0.763339497666631
ATP5ME	NDUFA7	0.762209801633013
ATP5ME	NDUFA8	0.505050733208675
ATP5ME	NDUFA9	0.758292380395933
ATP5ME	NDUFA10	0.809108919446349
ATP5ME	NDUFA11	0.657417784740878
ATP5ME	NDUFA12	0.772633813737703
ATP5ME	NDUFA13	0.743283347036826
ATP5ME	NDUFB1	0.528265839614748
ATP5ME	NDUFB3	0.695168425358148
ATP5ME	NDUFB4	0.555867171480645
ATP5ME	NDUFB5	0.824908115379487
ATP5ME	NDUFB6	0.718847152059083
ATP5ME	NDUFB7	0.393331934016106
ATP5ME	NDUFB8	0.584510933043846
ATP5ME	NDUFB9	0.59214132602716
ATP5ME	NDUFB10	0.781168602518963
ATP5ME	NDUFB11	0.7460352342544
ATP5ME	NDUFC2	0.662998254655221
